SEQ_2,simulated_k38_l100_64,MST_27,SEQ_1,SEQ_14,MST_30,SEQ_13,SEQ_31,SEQ_28,simulated_k38_l100_52,MST_8,SEQ_24,MST_9,simulated_k38_l100_74,MST_25,SEQ_29,SEQ_6,MST_13,simulated_k38_l100_70,simulated_k38_l100_34,simulated_k38_l100_59,simulated_k38_l100_36,SEQ_37,MST_2,simulated_k38_l100_45,SEQ_33,MST_26,simulated_k38_l100_14,SEQ_15,MST_6,SEQ_20,simulated_k38_l100_38,simulated_k38_l100_10,SEQ_7,SEQ_21,MST_17,MST_1,simulated_k38_l100_37,SEQ_30,simulated_k38_l100_60,SEQ_8,MST_39,simulated_k38_l100_43,simulated_k38_l100_68,MST_22,MST_38,MST_10,SEQ_22,simulated_k38_l100_48,MST_21,MST_32,simulated_k38_l100_13,SEQ_12,simulated_k38_l100_32,simulated_k38_l100_65,SEQ_35,SEQ_5,SEQ_32,SEQ_4,SEQ_26,MST_11,simulated_k38_l100_62,SEQ_9,SEQ_34,simulated_k38_l100_66,MST_5,simulated_k38_l100_50,MST_12,MST_24,simulated_k38_l100_30,SEQ_18,simulated_k38_l100_46,SEQ_25,simulated_k38_l100_56,MST_18,simulated_k38_l100_73,MST_20,MST_33,SEQ_11,SEQ_10,SEQ_36,MST_14,MST_28,SEQ_17,MST_40,SEQ_19,simulated_k38_l100_28,MST_19,simulated_k38_l100_69,MST_23,MST_36,SEQ_27,SEQ_23,SEQ_16,simulated_k38_l100_58,MST_37,simulated_k38_l100_44,simulated_k38_l100_61,MST_15,MST_35,simulated_k38_l100_67,MST_4,MST_34,SEQ_0,SEQ_3,simulated_k38_l100_51,MST_31,simulated_k38_l100_63,MST_7,MST_29,simulated_k38_l100_26,simulated_k38_l100_71,MST_3,MST_16,simulated_k38_l100_72,simulated_k38_l100_49
13.0,,1.0,20.0,1.0,1.0,4.0,1.0,1.0,,,1.0,,,1.0,1.0,8.0,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,8.0,1.0,,,,1.0,,7.0,16.0,,,1.0,1.0,,1.0,,1.0,1.0,,5.0,,,1.0,7.0,1.0,9.0,1.0,,,7.0,1.0,,,,,1.0,,0.0,,1.0,,,,0.0,1.0,5.0,6.0,1.0,,1.0,0.0,18.0,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,26.0,12.0,,1.0,,,1.0,,,,,,
15.0,,2.0,20.0,4.0,2.0,7.0,2.0,2.0,,9.0,2.0,9.0,8.0,2.0,2.0,9.0,8.0,0.0,,,,2.0,37.0,,2.0,2.0,,4.0,10.0,2.0,,,9.0,2.0,4.0,7.0,,2.0,,10.0,17.0,,,2.0,2.0,10.0,2.0,,2.0,2.0,,8.0,,,2.0,9.0,2.0,11.0,2.0,10.0,,10.0,2.0,,14.0,,9.0,2.0,,3.0,,2.0,,4.0,9.0,3.0,2.0,8.0,9.0,2.0,8.0,2.0,3.0,17.0,2.0,,3.0,0.0,2.0,2.0,2.0,2.0,4.0,,2.0,,,7.0,2.0,,14.0,2.0,26.0,14.0,,2.0,,10.0,2.0,,9.0,18.0,4.0,9.0,
15.0,,0.0,22.0,2.0,0.0,5.0,0.0,0.0,,,0.0,,,0.0,0.0,9.0,,,,,,0.0,,,0.0,0.0,,2.0,,0.0,,,9.0,0.0,,,,0.0,,8.0,18.0,,,,0.0,,0.0,,,0.0,,6.0,,,0.0,9.0,0.0,11.0,0.0,,,8.0,0.0,,,,,0.0,,1.0,,0.0,,,,,0.0,6.0,7.0,0.0,,0.0,1.0,19.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,,0.0,28.0,14.0,,0.0,,,0.0,,,,,,
15.0,,,22.0,2.0,,5.0,0.0,0.0,,,0.0,,,,0.0,9.0,,,,,,0.0,,,0.0,,,2.0,,0.0,,,9.0,0.0,,,,0.0,,8.0,18.0,,,,0.0,,0.0,,,,,6.0,,,0.0,9.0,0.0,11.0,0.0,,,8.0,0.0,,,,,,,1.0,,0.0,,,,,,6.0,7.0,0.0,,,1.0,19.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,,,,,,,,28.0,14.0,,,,,,,,,,,
,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2.0,2.0,,,2.0,,,,2.0,,,,,,,2.0,,,2.0,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,2.0,,2.0,,2.0,,,,2.0,,,,,,,1.0,,2.0,,,,,,,,2.0,,,1.0,,2.0,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
14.0,7.0,1.0,21.0,3.0,1.0,6.0,1.0,1.0,,8.0,1.0,8.0,5.0,1.0,1.0,8.0,7.0,3.0,,0.0,,1.0,38.0,,1.0,1.0,,3.0,9.0,1.0,,,8.0,1.0,3.0,6.0,,1.0,0.0,7.0,19.0,,6.0,1.0,1.0,7.0,1.0,,1.0,1.0,,7.0,,2.0,1.0,8.0,1.0,10.0,1.0,7.0,5.0,7.0,1.0,2.0,13.0,,6.0,1.0,,2.0,,1.0,,3.0,6.0,2.0,1.0,7.0,6.0,1.0,7.0,1.0,2.0,18.0,1.0,,2.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,,6.0,6.0,1.0,7.0,13.0,1.0,27.0,13.0,,1.0,7.0,9.0,1.0,,8.0,19.0,3.0,8.0,
15.0,,,22.0,2.0,,5.0,0.0,0.0,,,0.0,,,,0.0,9.0,,,,,,0.0,,,0.0,,,2.0,,0.0,,,9.0,0.0,,,,0.0,,8.0,18.0,,,,0.0,,0.0,,,,,6.0,,,0.0,9.0,0.0,11.0,0.0,,,8.0,0.0,,,,,,,1.0,,0.0,,,,,,6.0,7.0,0.0,,,1.0,19.0,0.0,,,,,,0.0,0.0,2.0,,0.0,,,,,,,,28.0,14.0,,,,,,,,,,,
6.0,15.0,9.0,14.0,11.0,9.0,14.0,9.0,9.0,11.0,9.0,9.0,11.0,7.0,9.0,9.0,9.0,15.0,11.0,,8.0,,9.0,36.0,19.0,9.0,9.0,,11.0,8.0,9.0,,,11.0,9.0,11.0,9.0,,9.0,8.0,12.0,17.0,,14.0,9.0,9.0,12.0,9.0,7.0,9.0,9.0,,15.0,,10.0,9.0,9.0,9.0,9.0,9.0,12.0,13.0,12.0,9.0,10.0,5.0,1.0,14.0,9.0,,10.0,19.0,9.0,15.0,11.0,8.0,10.0,9.0,15.0,14.0,9.0,15.0,9.0,10.0,16.0,9.0,,10.0,11.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,0.0,14.0,14.0,9.0,15.0,6.0,9.0,20.0,5.0,10.0,9.0,15.0,10.0,9.0,,16.0,12.0,11.0,16.0,1.0
11.0,3.0,5.0,18.0,3.0,5.0,2.0,5.0,5.0,,7.0,5.0,7.0,11.0,5.0,5.0,7.0,3.0,7.0,,,,5.0,36.0,,5.0,5.0,,3.0,8.0,5.0,,,7.0,5.0,3.0,8.0,,5.0,,5.0,17.0,,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,,3.0,,6.0,5.0,7.0,5.0,9.0,5.0,5.0,1.0,5.0,5.0,6.0,12.0,,4.0,5.0,,4.0,,5.0,,3.0,12.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,17.0,5.0,,4.0,7.0,5.0,5.0,5.0,5.0,3.0,,5.0,,0.0,2.0,5.0,3.0,10.0,5.0,24.0,12.0,,5.0,3.0,8.0,5.0,,4.0,16.0,3.0,4.0,
12.0,,5.0,18.0,3.0,5.0,0.0,5.0,5.0,,,5.0,,,5.0,5.0,5.0,,,,,,5.0,,,5.0,5.0,,3.0,,5.0,,,5.0,5.0,3.0,,,5.0,,3.0,17.0,,,5.0,5.0,,5.0,,5.0,5.0,,1.0,,,5.0,6.0,5.0,8.0,5.0,,,3.0,5.0,,,,,5.0,,4.0,,5.0,,3.0,,4.0,5.0,1.0,2.0,5.0,,5.0,4.0,17.0,5.0,,4.0,,5.0,5.0,5.0,5.0,3.0,,5.0,,,0.0,5.0,,,5.0,24.0,11.0,,5.0,,,5.0,,,,3.0,,
15.0,,,22.0,2.0,,5.0,0.0,0.0,,,0.0,,,,0.0,9.0,,,,,,0.0,,,0.0,,,2.0,,0.0,,,9.0,0.0,,,,0.0,,8.0,18.0,,,,0.0,,0.0,,,,,6.0,,,0.0,9.0,0.0,11.0,0.0,,,8.0,0.0,,,,,,,1.0,,0.0,,,,,,6.0,7.0,0.0,,,1.0,19.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,,,28.0,14.0,,,,,,,,,,,
13.0,,6.0,18.0,4.0,6.0,3.0,6.0,6.0,,7.0,6.0,7.0,12.0,6.0,6.0,7.0,4.0,8.0,,,,6.0,36.0,,6.0,6.0,,4.0,8.0,6.0,,,7.0,6.0,4.0,9.0,,6.0,,5.0,19.0,,1.0,6.0,6.0,5.0,6.0,,6.0,6.0,,4.0,,,6.0,7.0,6.0,9.0,6.0,5.0,,5.0,6.0,,12.0,,5.0,6.0,,5.0,,6.0,,4.0,13.0,5.0,6.0,4.0,5.0,6.0,4.0,6.0,5.0,17.0,6.0,,5.0,8.0,6.0,6.0,6.0,6.0,4.0,,6.0,,,3.0,6.0,0.0,12.0,6.0,24.0,12.0,,6.0,,8.0,6.0,,5.0,16.0,4.0,5.0,
0.0,,14.0,6.0,11.0,14.0,11.0,14.0,14.0,,4.0,14.0,5.0,,14.0,14.0,4.0,10.0,,,,,14.0,,,14.0,14.0,,11.0,4.0,14.0,,,5.0,14.0,11.0,,,14.0,,7.0,11.0,,,14.0,14.0,7.0,14.0,,13.0,14.0,,10.0,,,14.0,4.0,14.0,5.0,14.0,7.0,,7.0,14.0,,1.0,,9.0,14.0,,12.0,,14.0,,11.0,,12.0,14.0,10.0,9.0,14.0,10.0,14.0,12.0,11.0,13.0,,12.0,,14.0,14.0,14.0,14.0,11.0,,14.0,,,11.0,14.0,,0.0,14.0,12.0,1.0,,14.0,,5.0,14.0,,,,11.0,,
15.0,,,22.0,2.0,,5.0,0.0,0.0,,,0.0,,,,0.0,9.0,,,,,,0.0,,,0.0,,,2.0,,0.0,,,9.0,0.0,,,,0.0,,8.0,18.0,,,,0.0,,0.0,,,,,6.0,,,0.0,9.0,0.0,11.0,0.0,,,8.0,0.0,,,,,,,1.0,,0.0,,,,,,6.0,7.0,0.0,,,1.0,19.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,,0.0,28.0,14.0,,,,,,,,,,,
12.0,,,6.0,25.0,,24.0,28.0,28.0,,,28.0,,,,28.0,16.0,,,,,,28.0,,,28.0,,,25.0,,28.0,,,17.0,28.0,,,,28.0,,20.0,,,,,,,28.0,,,,,23.0,,,28.0,16.0,28.0,17.0,28.0,,,20.0,28.0,,,,,,,26.0,,28.0,,,,,,23.0,22.0,28.0,,,26.0,,27.0,,,,,,28.0,28.0,25.0,,,,,,,,,,0.0,13.0,,,,,,,,,,,
,,,,11.0,,11.0,14.0,14.0,,,14.0,,,,14.0,4.0,,,,,,14.0,,,14.0,,,11.0,,14.0,,,5.0,14.0,,,,14.0,,8.0,,,,,,,14.0,,,,,11.0,,,14.0,4.0,14.0,4.0,14.0,,,8.0,14.0,,,,,,,12.0,,14.0,,,,,,11.0,10.0,14.0,,,12.0,,13.0,,,,,,14.0,14.0,11.0,,,,,,,,,,,0.0,,,,,,,,,,,
14.0,7.0,1.0,21.0,3.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,8.0,7.0,1.0,1.0,8.0,7.0,1.0,,2.0,,1.0,38.0,,1.0,1.0,,3.0,9.0,1.0,,,8.0,1.0,3.0,6.0,,1.0,2.0,9.0,17.0,,6.0,1.0,1.0,9.0,1.0,,1.0,1.0,,7.0,,0.0,1.0,8.0,1.0,10.0,1.0,9.0,5.0,9.0,1.0,0.0,13.0,,8.0,1.0,,2.0,,1.0,7.0,3.0,8.0,2.0,1.0,7.0,8.0,1.0,7.0,1.0,2.0,18.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,6.0,6.0,1.0,7.0,13.0,1.0,27.0,13.0,0.0,1.0,7.0,9.0,1.0,,8.0,19.0,3.0,8.0,
15.0,,,22.0,2.0,,5.0,0.0,0.0,,,0.0,,,,0.0,9.0,,,,,,0.0,,,0.0,,,2.0,,0.0,,,9.0,0.0,,,,0.0,,8.0,18.0,,,,0.0,,0.0,,,0.0,,6.0,,,0.0,9.0,0.0,11.0,0.0,,,8.0,0.0,,,,,,,1.0,,0.0,,,,,0.0,6.0,7.0,0.0,,,1.0,19.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,,0.0,28.0,14.0,,0.0,,,,,,,,,
12.0,0.0,6.0,17.0,4.0,6.0,1.0,6.0,6.0,,4.0,6.0,4.0,12.0,6.0,6.0,4.0,0.0,8.0,,,,6.0,36.0,,6.0,6.0,,4.0,6.0,6.0,,,4.0,6.0,4.0,7.0,,6.0,,2.0,17.0,,5.0,6.0,6.0,2.0,6.0,,6.0,6.0,,0.0,,7.0,6.0,5.0,6.0,7.0,6.0,2.0,,2.0,6.0,7.0,11.0,,1.0,6.0,,5.0,,6.0,,4.0,13.0,5.0,6.0,0.0,1.0,6.0,0.0,6.0,5.0,17.0,6.0,,5.0,8.0,6.0,6.0,6.0,6.0,4.0,,6.0,,,1.0,6.0,4.0,10.0,6.0,23.0,11.0,,6.0,0.0,6.0,6.0,,1.0,16.0,4.0,1.0,
6.0,,10.0,11.0,7.0,10.0,7.0,10.0,10.0,,0.0,10.0,0.0,,10.0,10.0,0.0,6.0,,,,,10.0,,,10.0,10.0,,7.0,,10.0,,,0.0,10.0,7.0,,,10.0,,4.0,14.0,,,10.0,10.0,4.0,10.0,,9.0,10.0,,6.0,,,10.0,0.0,10.0,1.0,10.0,4.0,,4.0,10.0,,,,6.0,10.0,,8.0,,10.0,,7.0,,8.0,10.0,6.0,6.0,10.0,6.0,10.0,8.0,12.0,9.0,,8.0,,10.0,10.0,10.0,10.0,7.0,,10.0,,,7.0,10.0,,,10.0,17.0,5.0,,10.0,,0.0,10.0,,,,7.0,,
15.0,,,22.0,2.0,0.0,5.0,0.0,0.0,,,0.0,,,,0.0,9.0,,,,,,0.0,,,0.0,,,2.0,,0.0,,,9.0,0.0,,,,0.0,,8.0,18.0,,,,0.0,,0.0,,,0.0,,6.0,,,0.0,9.0,0.0,11.0,0.0,,,8.0,0.0,,,,,,,1.0,,0.0,,,,,0.0,6.0,7.0,0.0,,,1.0,19.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,,,,0.0,,,0.0,28.0,14.0,,0.0,,,0.0,,,,,,
12.0,3.0,5.0,19.0,3.0,5.0,2.0,5.0,5.0,7.0,7.0,5.0,7.0,11.0,5.0,5.0,7.0,3.0,7.0,3.0,6.0,10.0,5.0,37.0,7.0,5.0,5.0,,3.0,7.0,5.0,4.0,,7.0,5.0,3.0,8.0,3.0,5.0,6.0,5.0,19.0,12.0,4.0,5.0,5.0,5.0,5.0,11.0,5.0,5.0,,3.0,7.0,6.0,5.0,6.0,5.0,8.0,5.0,5.0,3.0,5.0,5.0,6.0,11.0,15.0,4.0,5.0,3.0,4.0,7.0,5.0,3.0,3.0,12.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,17.0,5.0,4.0,4.0,7.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,14.0,2.0,2.0,5.0,3.0,11.0,5.0,24.0,11.0,6.0,5.0,3.0,7.0,5.0,0.0,4.0,17.0,3.0,4.0,15.0
11.0,,7.0,16.0,5.0,7.0,2.0,7.0,7.0,,5.0,7.0,5.0,13.0,7.0,7.0,5.0,1.0,,,,,7.0,36.0,,7.0,7.0,,5.0,5.0,7.0,,,5.0,7.0,5.0,8.0,,7.0,,3.0,16.0,,,7.0,7.0,3.0,7.0,,7.0,7.0,,1.0,,,7.0,4.0,7.0,6.0,7.0,3.0,,3.0,7.0,,10.0,,2.0,7.0,,6.0,,7.0,,5.0,14.0,6.0,7.0,1.0,2.0,7.0,1.0,7.0,6.0,17.0,7.0,,6.0,,7.0,7.0,7.0,7.0,5.0,,7.0,,,2.0,7.0,,9.0,7.0,23.0,10.0,,7.0,,5.0,7.0,,0.0,15.0,5.0,0.0,
5.0,,20.0,0.0,17.0,20.0,17.0,20.0,20.0,,10.0,20.0,11.0,,20.0,20.0,10.0,16.0,,,,,20.0,,,20.0,20.0,,17.0,9.0,20.0,,,11.0,20.0,17.0,,,20.0,,13.0,8.0,,,20.0,20.0,13.0,20.0,,19.0,20.0,,16.0,,,20.0,9.0,20.0,10.0,20.0,13.0,,13.0,20.0,,6.0,,15.0,20.0,,18.0,,20.0,,17.0,,18.0,20.0,16.0,15.0,20.0,16.0,20.0,18.0,9.0,19.0,,18.0,,20.0,20.0,20.0,20.0,17.0,,20.0,,,17.0,20.0,,5.0,20.0,6.0,6.0,,20.0,,10.0,20.0,,,0.0,17.0,,
12.0,,2.0,19.0,0.0,2.0,3.0,2.0,2.0,,,2.0,,,2.0,2.0,7.0,,,,,,2.0,,,2.0,2.0,,0.0,,2.0,,,7.0,2.0,0.0,,,2.0,,6.0,17.0,,,2.0,2.0,,2.0,,2.0,2.0,,4.0,,,2.0,6.0,2.0,8.0,2.0,,,6.0,2.0,,,,,2.0,,1.0,,2.0,,0.0,,1.0,2.0,4.0,5.0,2.0,,2.0,1.0,17.0,2.0,,1.0,,2.0,2.0,2.0,2.0,0.0,,2.0,,,,2.0,,,2.0,25.0,11.0,,2.0,,,2.0,,,,0.0,,
11.0,,7.0,16.0,5.0,7.0,2.0,7.0,7.0,,5.0,7.0,5.0,13.0,7.0,7.0,5.0,1.0,,,,,7.0,36.0,,7.0,7.0,,5.0,5.0,7.0,,,5.0,7.0,5.0,8.0,,7.0,,3.0,16.0,,,7.0,7.0,3.0,7.0,,7.0,7.0,,1.0,,,7.0,4.0,7.0,6.0,7.0,3.0,,3.0,7.0,,10.0,,2.0,7.0,,6.0,,7.0,,5.0,14.0,6.0,7.0,1.0,2.0,7.0,1.0,7.0,6.0,17.0,7.0,,6.0,,7.0,7.0,7.0,7.0,5.0,,7.0,,,2.0,7.0,,9.0,7.0,23.0,10.0,,7.0,,5.0,7.0,,,15.0,5.0,0.0,
7.0,16.0,10.0,13.0,12.0,10.0,15.0,10.0,10.0,12.0,10.0,10.0,12.0,8.0,10.0,10.0,10.0,16.0,12.0,,9.0,,10.0,36.0,,10.0,10.0,,12.0,9.0,10.0,,,12.0,10.0,12.0,10.0,,10.0,9.0,13.0,17.0,,15.0,10.0,10.0,13.0,10.0,,10.0,10.0,,16.0,,11.0,10.0,10.0,10.0,10.0,10.0,13.0,14.0,13.0,10.0,11.0,6.0,0.0,15.0,10.0,,11.0,,10.0,16.0,12.0,9.0,11.0,10.0,16.0,15.0,10.0,16.0,10.0,11.0,16.0,10.0,,11.0,12.0,10.0,10.0,10.0,10.0,12.0,9.0,10.0,,15.0,15.0,10.0,16.0,7.0,10.0,19.0,6.0,11.0,10.0,16.0,11.0,10.0,,17.0,11.0,12.0,17.0,0.0
